"Fornecedor";"Contratante";"Número do Contrato";"Objeto do Contrato";"Início da Vigência";"Fim da Vigência";"Data da Assinatura";"Valor do Contrato";"Valor é porcentagem?";
"LABINBRAZ COMERCIAL LTDA";"Secretaria Municipal de Saude";"104772021";"AQUISICAO DE PRODUTOSREAGENTES DE BIOQUIMICA PARA REALIZACAO DE EXAMES LABORATORIAIS COM EQUIPAMENTOS LABORATORIAIS EM COMODATO.";"2021-11-09";"2021-12-31";"2021-11-04";"526240.0";"0";
"MAQ-LAREM MAQUINAS MOVEIS E EQUIPAMENTOS LTDA";"Instituto Candida Vargas";"233372021";"CONTRATACAO DE EMPRESA ESPECIALIZADA EM LOCACAO DE IMPRESSORAS";"";"2021-12-31";"2021-10-27";"54000.0";"0";
"TELEMAR NORTE LESTE S A - EM RECUPERACAO JUDICIAL";"Secretaria de Administracao";"041712017";"Prorrogacao 12 doze meses - Contratacao de empresa especializada
em servicos de telefonia para atender todas as Secretarias e Orgaos da
Administracao Publica da Prefeitura Municipal de Joao Pessoa PB - PMJP.";"2020-10-30";"2021-10-31";"2020-10-30";"4443798.6";"0";
"MOC SERVICOS DE CONSTRUCOES EIRELI";"Instituto de Previdencia do Municipio";"0032021";"Empresa especializada na prestacao de servicos de manutencao reforma geral e reparo na estrutura do IPMJP.";"2021-07-02";"2021-12-31";"2021-07-01";"20441.68";"0";
"KANOVA ENGENHARIA E CONSTRUCOES LTDA. ";"Secretaria Municipal de Infraestrutura";"070332021";"Contratacao de Empresa Especializada de Engenharia para Execucao dos Servicos de Implantacao de Pavimentacao em Paralelepipedos e Drenagem em diversos bairros da cidade de Joao PessoaPB Bairro Grotao: Rua Brasilia Travessa Brasilia E Rua Ivaldo V. Gomes Bairro Gramame: Avenida Joao Maria de Araujo e Bairro dos Estados: Rua Rondnia- LOTE 20.";"2021-11-08";"2022-11-08";"2021-09-29";"1186019.41";"0";
"MODERNA HOSPITALAR COMERCIO DE MATERIAIS MEDICOS E ORTOPEDICOS LTDA";"Secretaria Municipal de Saude";"107662021";"AQUISICAO DE MATERIAL MEDICO HOSPITALAR - SERINGAS DESCARTAVEIS 3,5 E 10mls, PARA ATENDER AS NECESSIDADES DA REDE MUNICIPAL DE SAUDE.";"2021-11-10";"2021-12-31";"2021-11-08";"54455.0";"0";
"HOSPITAL SAO LUIZ LTDA ";"Secretaria Municipal de Saude";"107302020";"CREDENCIAMENTO DE ENTIDADES PARA CONTRATACAO DE PRESTACAO DE SERVICOS EM LEITOS CLINICOS GERAIS A FIM DE ATENDER AS NECESSIDADES DA POPULACAO DE JOAO PESSOA E DA POPULACAO DOS MUNICIPIOS PACTUADOS";"2021-11-10";"2022-11-09";"2021-11-05";"0.0";"0";
"THOMAS JOSE BELTRAO DE ARAUJO ALBUQUERQUE ME - CNPJ ";"Secretaria de Administracao";"048682021";"Aquisicao de material permanente para atender as necessidades da Secretaria de Adminstracao ";"2021-11-08";"2022-11-07";"2021-11-08";"2118.98";"0";
"DIMENSAO CONSTRUCAO E SERVICOS LTDA  ";"Secretaria de Administracao";"048802021";"Contratacao de empresa especializada na prestacao de servico de locacao de
veiculos para atender as necessidades da Secretaria de Administracao-SEAD";"2021-11-08";"2022-11-07";"2021-11-08";"2154000.0";"0";
"VIDA  BIOTECNOLOGIA LTDA";"Secretaria Municipal de Saude";"107752021";"SISTEMA DE REGISTRO DE PRECOS PARA AQUISICAO TESTES RAPIDOS PARA MARCADORES LABORATORIAIS CARDIACOS COAGULACAO E SEPTICEMIA DA REDE LABORATORIAL HOSPITALAR E UPAS COM CESSAO DE EQUIPAMENTOS EM COMODATO.";"2021-11-12";"2021-12-31";"2021-11-11";"4363455.0";"0";
"Alfredo Salvador Ferretti Lugo";"Secretaria de Desenvolvimento Social";"040562018";"Locacao de imovel nao residencial por parte da SEDES destinado ao funcionamento da CASA DE ACOLHIDA ADULTO I localizada na Av. Severino Alves Ayres n 221 Miramar nesta Capital-PB";"2018-03-12";"2021-03-11";"2018-03-12";"180000.0";"0";
"MEGAMED COMERCIO LTDA";"Instituto Candida Vargas";"233392021";"AQUISICAO DE MATERIAL MEDICO HOSPITALAR PADRONIZADOS";"";"2021-12-31";"2021-11-11";"8340.0";"0";
"ECO PRINT COMERCIO E SERVICOS EIRELI";"Instituto de Previdencia do Municipio";"0292018";"Contratacao de empresa para prestacao de servico de locacao de impressora multifuncional monocromatica";"2021-11-30";"2022-11-30";"2021-11-11";"0.0";"0";
"FS SERVICOS DE OBRAS E REFORMAS ACABAMENTO DA CONSTRUCAO CIVIL EIRELI";"Secretaria Municipal de Saude";"107192021";"CONTRATACAO DE EMPRESA DE ENGENHARIA PARA EXECUCAO DOS SERVICOS DE ADEQUACAO DO LOCAL PARA INSTALACAO DO RAIO X  FIXO DA UPA CRUZ DAS ARMAS UPA VALENTINA E HOSPITAL MUNICIPAL SANTA ISABEL E HOSPITAL MUNICIPAL DO VALENTINA.";"2021-11-12";"2022-11-11";"2021-11-12";"393896.27";"0";
"CIRUFARMA COMERCIAL LTDA";"Secretaria Municipal de Saude";"107772021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MEDICAMENTOS DA REDE HOSPITALAR E ESPECIALIZADA";"2021-11-12";"2021-12-31";"2021-11-11";"172150.0";"0";
"NOVARTIS BIOCIENCIAS SA";"Secretaria Municipal de Saude";"107812021";"MEDICAMENTOS OMALIZUMABE (XOLAIR) 150mg";"2021-11-12";"2021-12-31";"2021-11-11";"41244.48";"0";
"ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA";"Secretaria Municipal de Saude";"105972021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO DE DIABETES.";"2021-07-13";"2021-12-31";"2021-07-09";"148442.0";"0";
"DISTRIBUIDORA BRAZMAC LTDA";"Secretaria de Direitos Humanos e Cidadania";"048572021";"Aquisio de gneros alimentcios para atender as necessidades da Secretaria da Secretaria de Direitos Humanos e Cidadania -SEDHUC";"2021-11-11";"2021-12-31";"2021-11-11";"53084.0";"0";
"BRASILSEG COMPANHIA DE SEGUROS";"Secretaria de Administracao";"047472021";"Contratacao de empresa especializada servico de contratacao de seguro para
estagiarios para atender as necessidades da Secretaria de Administracao-SEAD";"2021-10-29";"2022-10-28";"2021-10-29";"1440.0";"0";
"ARKO CONSTRUCOES LTDA ";"Secretaria de Habitacao Social";"340012021";"Urbanizacao Integrada da Comunidade Maria de Nazare, no Bairro Funcionarios III na cidade de Joao Pessoa-PB.";"2021-10-14";"2023-06-14";"2021-10-14";"8031411.79";"0";
"CAIXA ECONOMICA FEDERAL";"Secretaria de Planejamento";"330022021";"prestacao de servicos de Assistencia Tecnica no Diagnostico e Estimativa de Valores de Investimento na Construcao do Complexo Beira Rio.";"2021-09-21";"2022-09-21";"2021-09-21";"73240.0";"0";
"RILDO CAVALCANTE FERNANDES JUNIOR EPP";"Secretaria de Educacao";"090302021";"Aquisicao de materiais de marcenaria para servicos de manutencao das Escolas, CREIS e dos predios administrativos da Secretaria de Educacao e Cultura";"2021-09-30";"2021-12-31";"2021-09-27";"53705.0";"0";
"Consorcio Joao Pessoa Sustentavel";"Gabinete do Prefeito";"020062021";"Consultoria para o desenvolvimento dos servicos necessarios  revisao do Plano Diretor Municipal de Joao Pessoa PDMJP e legislacao correlata";"2021-04-19";"2023-04-09";"2021-03-18";"2837878.01";"0";
"Consorcio Joao Pessoa Sustentavel";"Gabinete do Prefeito";"020062021";"Consultoria para o desenvolvimento dos servicos necessarios  revisao do Plano Diretor Municipal de Joao Pessoa PDMJP e legislacao correlata";"2021-04-19";"2023-04-09";"2021-05-12";"2837878.01";"0";
"THOMAS JOSE BELTRAO DE ARAUJO ALBUQUERQUE ME - CNPJ ";"Secretaria de Desenvolvimento Social";"047112021";"Aquisicao de material permanente para atender as necessidades da Secretaria de Desenvolvimento Social -SEDES";"2021-11-09";"2022-11-08";"2021-11-09";"72955.9";"0";
"KLEMPS MAQUINAS TEXTIS LTDA";"Secretaria de Desenvolvimento Social";"048102021";"Aquisicao de uniformes para atender as necessidades da Secretaria de Desenvolvimento Social -SEDES";"2021-11-10";"2021-12-31";"2021-11-10";"8376.0";"0";
"Distribuidora Macbraz Ltda.";"Autarquia Especial Municipal de Limpeza Urbana";"047802021";"Aquisicao de material de construcao para atender as necessidades da Autarquia
Especial Municipal de Limpeza Urbana - EMLUR.";"2021-11-05";"2022-11-04";"2021-11-05";"8280.0";"0";
"GM COMERCIO E SERVICOS LTDA ";"Autarquia Especial Municipal de Limpeza Urbana";"047812021";"Aquisicao de material de construcao para atender as necessidades da Autarquia
Especial Municipal de Limpeza Urbana - EMLUR.";"2021-11-05";"2022-11-04";"2021-11-05";"8280.0";"0";
"MOREIRA & NEVES LTDA ";"Secretaria Municipal de Saude";"048032021";"Contratacao de empresa especializada na prestacao de servicos de manutencao
preventiva e corretiva de ar condicionado com fornecimento e substituicaoreposicao
total de pecas componentes e acessorios por outras novas e originais de diversas
marcas capacidade e modelo alem da implantacao do pmoc  plano de manutencao
operacao e controle estabelecido pela portaria n 3.523 com limpeza e higienizacao
conforme Resolucao RE n09 de 06.01.2003 ANVISA para atender as necessidades
da Secretaria Municipal de Saude - SMS.";"2021-11-03";"2022-11-02";"2021-11-03";"194753.03";"0";
"Distribuidora Macbraz Ltda.";"Secretaria Municipal de Infraestrutura";"048142021";"Aquisicao de material de construcao para atender as necessidades da Secretaria
de Infraestrutura  SEINFRA.";"2021-11-05";"2022-11-04";"2021-11-05";"19034.35";"0";
"SOS GAS DISTRIBUIDORA LTDA";"Secretaria Municipal de Saude";"048182021";"Aquisicao de gas de cozinha para atender as necessidades da Secretaria
Municipal de Saude  SMS.";"2021-11-06";"2021-12-31";"2021-11-03";"89244.0";"0";
"CENTRAL DO CONSTRUTOR COMERCIO VAREJISTA DE MATERIAISDE CONSTRUCAO LTDA ";"Secretaria Municipal de Saude";"048242021";"Aquisicao de material de construcao para atender as necessidades da Secretaria
Municipal de Saude - SMS.";"2021-11-05";"2022-11-04";"2021-11-05";"40013.35";"0";
"Distribuidora Macbraz Ltda.";"Secretaria Municipal de Saude";"048252021";"Aquisicao de material de construcao para atender as necessidades da Secretaria
Municipal de Saude - SMS.";"2021-11-05";"2022-11-04";"2021-11-05";"56031.15";"0";
"RILDO CAVALCANTE FERNANDES JUNIOR EPP";"Secretaria Municipal de Saude";"048262021";"Aquisicao de material de construcao para atender as necessidades da Secretaria
Municipal de Saude - SMS.";"2021-11-05";"2022-11-04";"2021-11-05";"15458.2";"0";
"LIGA MONTAGEM DE ESTRUTURAS METALICAS LTDA ";"Secretaria de Desenvolvimento Urbano";"048272021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria de
Desenvolvimento Urbano - SEDURB.";"2021-11-05";"2022-11-04";"2021-11-05";"26200.0";"0";
"LIGA MONTAGEM DE ESTRUTURAS METALICAS LTDA ";"Secretaria de Seguranca Urbana e Cidadania";"048372021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria de Seguranca
Urbana e Cidadania - SEMUSB";"2021-11-05";"2022-11-04";"2021-11-05";"1905.0";"0";
"LIGA MONTAGEM DE ESTRUTURAS METALICAS LTDA ";"Secretaria de Desenvolvimento Economico e Trabalho";"048402021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria do
Desenvolvimento Econmico e Trabalho - SEDEST.";"2021-11-05";"2022-11-04";"2021-11-05";"6288.0";"0";
"LIGA MONTAGEM DE ESTRUTURAS METALICAS LTDA ";"Fundacao Cultural de Joao Pessoa";"048412021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Fundacao Cultural de Joao
Pessoa  FUNJOPE.";"2021-11-05";"2022-11-04";"2021-11-05";"29600.0";"0";
"SN Festas e Locacoes Ltda Me";"Secretaria de Seguranca Urbana e Cidadania";"048422021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria de Seguranca
Urbana e Cidadania - SEMUSB.";"2021-11-04";"2022-11-03";"2021-11-04";"184.0";"0";
"SN Festas e Locacoes Ltda Me";"Secretaria de Desenvolvimento Urbano";"048432021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria de
Desenvolvimento Urbano - SEDURB.";"2021-11-04";"2022-11-03";"2021-11-04";"1485.0";"0";
"SN Festas e Locacoes Ltda Me";"Secretaria de Desenvolvimento Economico e Trabalho";"048472021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria do
Desenvolvimento Econmico e Trabalho - SEDEST.";"2021-11-04";"2022-11-03";"2021-11-04";"2381.25";"0";
"SN Festas e Locacoes Ltda Me";"Fundacao Cultural de Joao Pessoa";"048482021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Fundacao Cultural de Joao
Pessoa  FUNJOPE.";"2021-11-04";"2022-11-03";"2021-11-04";"44250.0";"0";
"JOSE PEREIRA DE LIMA TRANSPORTE";"Secretaria de Administracao";"048672021";"Contratacao de empresa especializada na prestacao de servico de locacao de
veiculos para atender as necessidades da Secretaria de Administracao - SEAD.";"2021-11-05";"2022-11-04";"2021-11-05";"178800.0";"0";
"UNIDAS VEICULOS ESPECIAIS S.A ";"Secretaria de Administracao";"048692021";"Contratacao de empresa especializada na prestacao de servico de locacao de
veiculos para atender as necessidades da Secretaria de Administracao - SEAD.";"2021-11-05";"2022-11-04";"2021-11-05";"83760.0";"0";
"Alfredo Salvador Ferretti Lugo";"Secretaria de Direitos Humanos e Cidadania";"040562018";"Prorrogacao por 60 sessenta meses  locacao do imovel nao residencial
destinado Casa de Acolhida Adulto  I para atender as necessidades da Secretaria de
Direitos Humanos e Cidadania - SDHUC.";"2021-03-12";"2026-03-11";"2021-03-11";"311820.6";"0";
"JOSE DA SILVA ARAUJO - FILMAGEM - ME";"Secretaria de Desenvolvimento Economico e Trabalho";"048322021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria do Desenvolvimento  Economico e Trabalho -SEDEST";"2021-11-10";"2022-11-09";"2021-11-10";"4900.0";"0";
"JOSE DA SILVA ARAUJO - FILMAGEM - ME";"Fundacao Cultural de Joao Pessoa";"048332021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria da Fundacao Cultural  de Joao Pessoa -Funjope";"2021-11-10";"2022-11-09";"2021-11-10";"49000.0";"0";
"JOSE DA SILVA ARAUJO - FILMAGEM - ME";"Secretaria de Desenvolvimento Urbano";"048352021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria de Desenvolvimento Urbano - SEDURB";"2021-11-10";"2022-11-09";"2021-11-10";"149670.0";"0";
"Editora Grafica Meta Ltda.";"Superintendencia Executiva de Mobilidade Urbana";"048492021";"Aquisicao de material grafico para atender as necessidades da Superitendncia  Executiva de Mobilidade Urbana-SEMOB-JP";"2021-11-08";"2021-12-31";"2021-11-08";"15156.36";"0";
"JOSE DA SILVA ARAUJO - FILMAGEM - ME";"Secretaria de Desenvolvimento Social";"048662021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria de Desenvolvimento Social -SEDES";"2021-11-10";"2022-11-09";"2021-11-10";"9800.0";"0";
"JOSE DA SILVA ARAUJO - FILMAGEM - ME";"Superintendencia Executiva de Mobilidade Urbana";"048702021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Superitendncia  Executiva de Mobilidade Urbana -SEMOB-JP";"2021-11-10";"2022-11-09";"2021-11-10";"19600.0";"0";
"SN Festas e Locacoes Ltda Me";"Superintendencia Executiva de Mobilidade Urbana";"048722021";"contratacao de empresa especializada na prestacao de servicos de locacao de tendas. cadeiras e mesas para atender as necessidades da Superitendncia  Executiva de Mobilidade Urbana -SEMOB -JP";"2021-11-10";"2022-11-09";"2021-11-10";"1275.0";"0";
"PLUS VIAGENS E TURISMO LTDA EPP";"Secretaria de Administracao";"048872021";"Contratacao de empresa especializada na prestacao de servico de agenciamento
de viagens para atender as necessidades da Secretaria de Administracao -SEAD";"2021-11-10";"2022-11-09";"2021-11-10";"0.0";"1";
"Aldeias Infantis SOS Brasil";"Secretaria de Desenvolvimento Social";"043672019";"Prorrogacao por 24 (vinte quatro) meses - locacao de imovel nao residencial,
destinado ao funcionamento da unidade de qualificacao em marcenaria, vinculado a SEDES.";"2021-10-21";"2023-10-20";"2021-10-20";"83404.32";"0";
"Ambiental Servicos Florestais EIRELI - ME";"Secretaria Municipal de Infraestrutura";"070392021";"Execucao dos Servicos de Cercamento no Residencial Saturtino de Brito em Joao Pessoa/PB.";"2021-09-24";"2021-12-24";"2021-09-23";"247071.11";"0";
"Alfredo Salvador Ferretti Lugo";"Secretaria de Desenvolvimento Social";"040562018";"Locacao de imovel nao residencial por parte da SEDES destinado ao funcionamento da CASA DE ACOLHIDA ADULTO I localizada na Av. Severino Alves Ayres n 221 Miramar nesta Capital-PB";"2019-05-18";"2020-05-17";"2019-05-18";"0.0";"0";
"CASTRO E ROCHA LTDA ";"Secretaria Municipal de Infraestrutura";"070412021";"Contratacao de Empresa Especializada na Prestacao de Servico para Fornecimento de Materiais, Execucao, Manutencao e Retirada da Iluminacao Natalina em Diversos Bairros na Cidade de Joao Pessoa - PB para o Natal 2021.";"2021-11-17";"2022-03-17";"2021-11-09";"688949.89";"0";
"MARCELO LEITE BARBOSA-EPP";"Secretaria Municipal de Saude";"109162017";"Credenciamento de entidades para contratacao de prestacao de servicos de terapia renal substitutiva para atender as necessidades da populacao de Joao Pessoa e dos municipios pactuados";"2018-11-12";"2019-11-12";"2018-11-09";"4719545.52";"0";
"MARCELO LEITE BARBOSA-EPP";"Secretaria Municipal de Saude";"109162017";"Credenciamento de entidades para contratacao de prestacao de servicos de terapia renal substitutiva para atender as necessidades da populacao de Joao Pessoa e dos municipios pactuados";"2019-11-12";"2020-11-12";"2019-11-11";"4719545.52";"0";
"SUPRA DISTRIBUIDORA DE MATERIAIS HOSPITALARES EIRELI";"Secretaria de Desenvolvimento Social";"047732021";"Aquisicao de material de expediente para atender as necessidades da Secretaria
de Desenvolvimento Social - SEDES.";"2021-11-13";"2021-12-31";"2021-11-12";"13522.0";"0";
"MAIS PROMO PRODUCOES E EVENTOS LTDA - EPP";"Secretaria de Juventude, Esporte e Recreacao";"048532021";"Contratacao de empresa especializada em fornecimento de lanche e gelo para
evento: maratona e a copa cidade de Joao Pessoa, para atender as necessidades da
Secretaria de Juventude Esporte e Recreacao - SEJER.";"2021-11-12";"2022-11-11";"2021-11-12";"16105.5";"0";
"LIGA MONTAGEM DE ESTRUTURAS METALICAS LTDA ";"Superintendencia Executiva de Mobilidade Urbana";"048712021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Superintendncia Executiva
de Mobilidade Urbana  SEMOB -JP.";"2021-11-12";"2022-11-11";"2021-11-12";"10480.0";"0";
"DIMENSAO CONSTRUCAO E SERVICOS LTDA  ";"Secretaria Municipal de Infraestrutura";"048792021";"Contratacao de empresa especializada na prestacao de servico de locacao de
veiculos para atender as necessidades da Secretaria de Infraestrutura  SEINFRA.";"2021-11-12";"2022-11-11";"2021-11-12";"430800.0";"0";
"SN Festas e Locacoes Ltda Me";"Secretaria de Educacao";"048852021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria de Educacao e
Cultura - SEDEC.";"2021-11-12";"2022-11-11";"2021-11-12";"13312.5";"0";
"PLUS VIAGENS E TURISMO LTDA EPP";"Secretaria de Habitacao Social";"048892021";"Contratacao de empresa especializada na prestacao de servico de agenciamento
de viagens para atender as necessidades da Secretaria Municipal de Habitacao Social -
SEMHAB.";"2021-11-12";"2022-11-11";"2021-11-12";"0.0";"1";
"SN Festas e Locacoes Ltda Me";"Secretaria de Direitos Humanos e Cidadania";"048942021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria de Direitos
Humanos e Cidadania - SEDHUC.";"2021-11-12";"2022-11-11";"2021-11-12";"4792.5";"0";
"SUPRA DISTRIBUIDORA DE MATERIAIS HOSPITALARES EIRELI";"Secretaria de Administracao";"049082021";"Aquisicao de produtos limpeza higienizacao e EPI - Covid 2021 para atender
as necessidades da Secretaria de Administracao  SEAD.";"2021-11-12";"2022-11-11";"2021-11-12";"7857.3";"0";
"SANEAPE LOCACOES LTDA";"Secretaria de Administracao";"048812021";"Contratacao de empresa especializada na prestacao de servico de locacao de
veiculos para atender as necessidades da Secretaria de Administracao - SEAD.";"2021-11-12";"2022-11-11";"2021-11-12";"655200.0";"0";
"PARAIBA TURISMO LTDA";"Fundacao Cultural de Joao Pessoa";"048522021";"Contratacao de empresa especializada na prestacao de servico de locacao de
veiculos para atender as necessidades da Secretaria da Fundacao cultural  de Joao Pessoa -FUNJOPE";"2021-11-18";"2022-11-16";"2021-11-18";"36000.0";"0";
"PARAIBA TURISMO LTDA";"Secretaria de Desenvolvimento Social";"048952021";"Contratacao de empresa especializada na prestacao de servico de locacao de
veiculos para atender as necessidades da SEDES";"2021-11-17";"2022-11-16";"2021-11-17";"86400.0";"0";
"ECO PRINT COMERCIO E SERVICOS EIRELI";"Secretaria de Direitos Humanos e Cidadania";"049052021";" Aquisicao de toner e cartuchos para atender as necessidades da Secretaria de Direitos Humanos e Cidadania -SEDHUC
";"2021-11-16";"2022-11-15";"2021-11-16";"29100.0";"0";
"COMERCIAL  CIRURGICA RIOCLARENSE LTDA,";"Secretaria Municipal de Saude";"107892021";"AQUISICAO EMERGENCIAL DE MEDICAMENTOS PARA ATENDIMENTO DA REDE HOSPITALAR REDE ESPECIALIZADA E ATENCAO BASICA DA SECRETARIA MUNICIPAL DE SAUDE DE JOAO PESSOA.";"2021-11-19";"2022-05-18";"2021-11-18";"93696.24";"0";
"PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTI";"Secretaria Municipal de Saude";"107842021";"AQUISICAO DE MATERIAL MEDICO EM CARATER EMERGENCIAL PARA ATENDER A NECESSIDADE DO MUNICIPIO DE JOAO PESSOA DESTINADOS A REDE HOSPITALAR ESPECIALIZADA E ATENCAO BASICA.";"2021-11-19";"2022-05-18";"2021-11-18";"74425.95";"0";
"GRADUAL COMERCIO SERVICOS EIRELLI";"Secretaria Municipal de Saude";"107822021";"AQUISICAO DE MATERIAL MEDICO EM CARATER EMERGENCIAL PARA ATENDER A NECESSIDADE DO MUNICIPIO DE JOAO PESSOA DESTINADOS A REDE HOSPITALAR ESPECIALIZADA E ATENCAO BASICA.";"2021-11-19";"2022-05-18";"2021-11-18";"221043.9";"0";
"PAULO SERGIO RODRIGUES DA SILVA - MEI";"Secretaria de Juventude, Esporte e Recreacao";"212021";"AQUISICAO DE SERVICOS DE PINTURA, HIDRAULICA E ELETRICA DO ESTADIO LEONARDO DA SILVEIRA (GRACA), VISANDO ATENDER AS NECESSIDADES DA SECRETARIA DE JUVENTUDE, ESPORTE E RECREACAO";"2021-11-04";"2021-12-31";"2021-11-04";"17250.0";"0";
"Editora Grafica Meta Ltda.";"Secretaria de Juventude, Esporte e Recreacao";"122021";"CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE MATERIAL GRAFICO, PARA A COPA JOAO PESSOA DE FUTEBOL";"2021-11-05";"2021-12-31";"2021-11-05";"16700.0";"0";
"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA";"Secretaria Municipal de Saude";"107852021";"AQUISICAO EMERGENCIAL DE MEDICAMENTOS PARA ATENDIMENTO DA REDE HOSPITALAR REDE ESPECIALIZADA E ATENCAO BASICA DA SECRETARIA MUNICIPAL DE SAUDE DE JOAO PESSOA.";"2021-11-19";"2022-05-18";"2021-11-19";"1122106.69";"0";
"OPEN FARMA COMERCIO DE PRODUTOS HOSPITALARES LTDA";"Secretaria Municipal de Saude";"107792021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO HOSPITALAR GERAL.";"2021-11-18";"2021-12-31";"2021-11-16";"34242.0";"0";
"CIRURGICA MONTEBELLO LTDA";"Instituto Candida Vargas";"232972021";"AQUISICAO DE MATERIAL MEDICO HOSPITALAR PADRONIZADOS";"";"2021-12-31";"2021-11-12";"7758.0";"0";
"ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA";"Secretaria Municipal de Saude";"107922021";"SISTEMA DE REGISTRO DE PRECOS PARA A AQUISICAO DE MATERIAL MEDICO DE DIABETES.";"2021-11-23";"2021-12-31";"2021-11-19";"250558.0";"0";
"NNMED - DISTRIBUICAO IMPORTACAO E EXPOR DE MEDICAM";"Secretaria Municipal de Saude";"107862021";"AQUISICAO EMERGENCIAL DE MEDICAMENTOS PARA ATENDIMENTO DA REDE HOSPITALAR REDE ESPECIALIZADA E ATENCAO BASICA DA SECRETARIA MUNICIPAL DE SAUDE DE JOAO PESSOA.";"2021-11-23";"2022-05-22";"2021-11-19";"97249.69";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"107872021";"AQUISICAO EMERGENCIAL DE MEDICAMENTOS PARA ATENDIMENTO DA REDE HOSPITALAR REDE ESPECIALIZADA E ATENCAO BASICA DA SECRETARIA MUNICIPAL DE SAUDE DE JOAO PESSOA.";"2021-11-23";"2022-05-22";"2021-11-22";"7635.2";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"107802021";"AQUISICAO DE MEDICAMENTO PARA ATENDER DEMANDA JUDICIAL DA SECRETARIA MUNICIPAL DE SAUDE DE JOAO PESSOA.";"2021-11-23";"2022-05-22";"2021-11-22";"50237.9";"0";
"KGA Desenvolvimento e Tecnologia Eireli.";"Secretaria de Planejamento";"047982021";"Servico de agenciamento de transporte terrestre por aplicativo, para atender as necessidades da
Secretaria de Planejamento - SEPLAN.";"2021-11-19";"2022-11-18";"2021-11-19";"31200.0";"0";
"SN Festas e Locacoes Ltda Me";"Secretaria de Juventude, Esporte e Recreacao";"048652021";"Contratacao de empresa especializada na prestacao de servicos de locacao de tendas cadeiras e
mesas para atender as necessidades da Secretaria de Juventude Esporte e Recreacao - SEJER.";"2021-11-18";"2022-11-17";"2021-11-18";"435.0";"0";
"JOSE DA SILVA ARAUJO - FILMAGEM - ME";"Secretaria de Educacao";"048832021";"Contratacao de empresa especializada na prestacao de servicos de locacao de tendas cadeiras e
mesas para atender as necessidades da Secretaria de Educacao e Cultura - SEDEC";"2021-11-18";"2022-11-17";"2021-11-18";"9800.0";"0";
"PLUS VIAGENS E TURISMO LTDA EPP";"Secretaria de Juventude, Esporte e Recreacao";"048882021";"Contratacao de empresa especializada na prestacao de servico de agenciamento de viagens para
atender as necessidades da Secretaria de Juventude Esporte e Recreacao - SEJER.";"2021-11-18";"2022-11-17";"2021-11-18";"0.0";"1";
"JOSE DA SILVA ARAUJO - FILMAGEM - ME";"Secretaria de Direitos Humanos e Cidadania";"048922021";"Contratacao de empresa especializada na prestacao de servicos de locacao de
tendas cadeiras e mesas para atender as necessidades da Secretaria de Direitos Humanos e Cidadania -SEDHUC ";"2021-11-18";"2022-11-17";"2021-11-18";"25725.0";"0";
